2017-04-25 20:19:44,040 DEBUG - Resolved classpath location [by/autobazar/util/] to resources [URL [file:/C:/Users/Andrey/IdeaProjects/AutobazarWebApp/dao/target/classes/by/autobazar/util/]]
t2017-04-25 20:19:44,040 DEBUG - Looking for matching resources in directory tree [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\util]
t2017-04-25 20:19:44,041 DEBUG - Searching directory [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\util] for files matching pattern [C:/Users/Andrey/IdeaProjects/AutobazarWebApp/dao/target/classes/by/autobazar/util/**/*.class]
t2017-04-25 20:19:44,043 DEBUG - Resolved location pattern [classpath*:by/autobazar/util/**/*.class] to resources [file [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\util\CustomNamingStrategy.class], file [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\util\HibernateUtil.class], file [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\util\LocalDateAttributeConverter.class], file [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\util\LocalDateTimeAttributeConverter.class]]
t2017-04-25 20:19:44,121 DEBUG - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0]
t2017-04-25 20:19:44,142 INFO  - Overriding bean definition for bean 'carDao' with a different definition: replacing [Generic bean: class [by.autobazar.dao.CarDao]; scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\dao\CarDao.class]] with [Generic bean: class [by.autobazar.dao.CarDao]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [test-dao.xml]]
t2017-04-25 20:19:44,143 DEBUG - Loaded 20 bean definitions from location pattern [classpath:test-dao.xml]
t2017-04-25 20:19:44,150 INFO  - Refreshing org.springframework.context.support.GenericApplicationContext@56aac163: startup date [Tue Apr 25 20:19:44 EEST 2017]; root of context hierarchy
t2017-04-25 20:19:44,150 DEBUG - Bean factory for org.springframework.context.support.GenericApplicationContext@56aac163: org.springframework.beans.factory.support.DefaultListableBeanFactory@11fc564b: defining beans [carDao,commentDao,imageDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.config.internalTransactionalEventListenerFactory,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0,dataSource,sessionFactory,transactionManager]; root of factory hierarchy
t2017-04-25 20:19:44,236 DEBUG - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
t2017-04-25 20:19:44,237 DEBUG - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
t2017-04-25 20:19:44,274 DEBUG - Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
t2017-04-25 20:19:44,279 DEBUG - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
t2017-04-25 20:19:44,574 DEBUG - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
t2017-04-25 20:19:44,574 DEBUG - Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
t2017-04-25 20:19:44,577 DEBUG - Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
t2017-04-25 20:19:44,641 DEBUG - Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
t2017-04-25 20:19:44,641 DEBUG - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
t2017-04-25 20:19:44,641 DEBUG - Creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
t2017-04-25 20:19:44,642 DEBUG - Eagerly caching bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor' to allow for resolving potential circular references
t2017-04-25 20:19:44,662 DEBUG - Finished creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
t2017-04-25 20:19:44,662 DEBUG - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
t2017-04-25 20:19:44,662 DEBUG - Creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
t2017-04-25 20:19:44,672 DEBUG - Eagerly caching bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor' to allow for resolving potential circular references
t2017-04-25 20:19:44,873 DEBUG - Finished creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
t2017-04-25 20:19:44,874 DEBUG - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
t2017-04-25 20:19:44,874 DEBUG - Creating instance of bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
t2017-04-25 20:19:44,878 DEBUG - Eagerly caching bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor' to allow for resolving potential circular references
t2017-04-25 20:19:44,914 DEBUG - Finished creating instance of bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
t2017-04-25 20:19:44,914 DEBUG - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
t2017-04-25 20:19:44,914 DEBUG - Creating instance of bean 'org.springframework.aop.config.internalAutoProxyCreator'
t2017-04-25 20:19:44,973 DEBUG - Eagerly caching bean 'org.springframework.aop.config.internalAutoProxyCreator' to allow for resolving potential circular references
t2017-04-25 20:19:45,064 DEBUG - Finished creating instance of bean 'org.springframework.aop.config.internalAutoProxyCreator'
t2017-04-25 20:19:45,064 DEBUG - Creating shared instance of singleton bean 'org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0'
t2017-04-25 20:19:45,064 DEBUG - Creating instance of bean 'org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0'
t2017-04-25 20:19:45,066 DEBUG - Eagerly caching bean 'org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0' to allow for resolving potential circular references
t2017-04-25 20:19:45,090 DEBUG - Finished creating instance of bean 'org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0'
t2017-04-25 20:19:45,102 DEBUG - Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@8462f31]
t2017-04-25 20:19:45,106 DEBUG - Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@247310d0]
t2017-04-25 20:19:45,111 DEBUG - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@11fc564b: defining beans [carDao,commentDao,imageDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.config.internalTransactionalEventListenerFactory,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor#0,dataSource,sessionFactory,transactionManager]; root of factory hierarchy
t2017-04-25 20:19:45,111 DEBUG - Creating shared instance of singleton bean 'carDao'
t2017-04-25 20:19:45,111 DEBUG - Creating instance of bean 'carDao'
t2017-04-25 20:19:45,116 DEBUG - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,117 DEBUG - Creating instance of bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,119 DEBUG - Eagerly caching bean 'org.springframework.transaction.config.internalTransactionAdvisor' to allow for resolving potential circular references
t2017-04-25 20:19:45,134 DEBUG - Creating shared instance of singleton bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
t2017-04-25 20:19:45,134 DEBUG - Creating instance of bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
t2017-04-25 20:19:45,135 DEBUG - Skipping currently created advisor 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,140 DEBUG - Eagerly caching bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' to allow for resolving potential circular references
t2017-04-25 20:19:45,150 DEBUG - Skipping currently created advisor 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,151 DEBUG - Skipping currently created advisor 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,157 DEBUG - Finished creating instance of bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
t2017-04-25 20:19:45,158 DEBUG - Finished creating instance of bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,168 DEBUG - Creating shared instance of singleton bean 'sessionFactory'
t2017-04-25 20:19:45,168 DEBUG - Creating instance of bean 'sessionFactory'
t2017-04-25 20:19:45,168 DEBUG - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,180 DEBUG - Eagerly caching bean 'sessionFactory' to allow for resolving potential circular references
t2017-04-25 20:19:45,202 DEBUG - Creating shared instance of singleton bean 'dataSource'
t2017-04-25 20:19:45,202 DEBUG - Creating instance of bean 'dataSource'
t2017-04-25 20:19:45,202 DEBUG - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,639 DEBUG - Eagerly caching bean 'dataSource' to allow for resolving potential circular references
t2017-04-25 20:19:45,692 DEBUG - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,692 DEBUG - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
t2017-04-25 20:19:45,712 DEBUG - Finished creating instance of bean 'dataSource'
t2017-04-25 20:19:45,715 DEBUG - Invoking afterPropertiesSet() on bean with name 'sessionFactory'
t2017-04-25 20:19:45,774 DEBUG - Logging Provider: org.jboss.logging.Log4jLoggerProvider
t2017-04-25 20:19:45,809 DEBUG - Adding type registration boolean -> org.hibernate.type.BooleanType@479460a6
t2017-04-25 20:19:45,810 DEBUG - Adding type registration boolean -> org.hibernate.type.BooleanType@479460a6
t2017-04-25 20:19:45,810 DEBUG - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@479460a6
t2017-04-25 20:19:45,811 DEBUG - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@68702e03
t2017-04-25 20:19:45,813 DEBUG - Adding type registration true_false -> org.hibernate.type.TrueFalseType@58ce9668
t2017-04-25 20:19:45,813 DEBUG - Adding type registration yes_no -> org.hibernate.type.YesNoType@2796aeae
t2017-04-25 20:19:45,816 DEBUG - Adding type registration byte -> org.hibernate.type.ByteType@31ff43be
t2017-04-25 20:19:45,816 DEBUG - Adding type registration byte -> org.hibernate.type.ByteType@31ff43be
t2017-04-25 20:19:45,817 DEBUG - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@31ff43be
t2017-04-25 20:19:45,818 DEBUG - Adding type registration character -> org.hibernate.type.CharacterType@132e0cc
t2017-04-25 20:19:45,818 DEBUG - Adding type registration char -> org.hibernate.type.CharacterType@132e0cc
t2017-04-25 20:19:45,818 DEBUG - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@132e0cc
t2017-04-25 20:19:45,821 DEBUG - Adding type registration short -> org.hibernate.type.ShortType@26ceffa8
t2017-04-25 20:19:45,821 DEBUG - Adding type registration short -> org.hibernate.type.ShortType@26ceffa8
t2017-04-25 20:19:45,821 DEBUG - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@26ceffa8
t2017-04-25 20:19:45,823 DEBUG - Adding type registration integer -> org.hibernate.type.IntegerType@60129b9a
t2017-04-25 20:19:45,823 DEBUG - Adding type registration int -> org.hibernate.type.IntegerType@60129b9a
t2017-04-25 20:19:45,823 DEBUG - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@60129b9a
t2017-04-25 20:19:45,825 DEBUG - Adding type registration long -> org.hibernate.type.LongType@8576fa0
t2017-04-25 20:19:45,825 DEBUG - Adding type registration long -> org.hibernate.type.LongType@8576fa0
t2017-04-25 20:19:45,825 DEBUG - Adding type registration java.lang.Long -> org.hibernate.type.LongType@8576fa0
t2017-04-25 20:19:45,827 DEBUG - Adding type registration float -> org.hibernate.type.FloatType@4716be8b
t2017-04-25 20:19:45,828 DEBUG - Adding type registration float -> org.hibernate.type.FloatType@4716be8b
t2017-04-25 20:19:45,828 DEBUG - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4716be8b
t2017-04-25 20:19:45,830 DEBUG - Adding type registration double -> org.hibernate.type.DoubleType@291a7e3c
t2017-04-25 20:19:45,830 DEBUG - Adding type registration double -> org.hibernate.type.DoubleType@291a7e3c
t2017-04-25 20:19:45,830 DEBUG - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@291a7e3c
t2017-04-25 20:19:45,833 DEBUG - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7a362b6b
t2017-04-25 20:19:45,833 DEBUG - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7a362b6b
t2017-04-25 20:19:45,835 DEBUG - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@512baff6
t2017-04-25 20:19:45,835 DEBUG - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@512baff6
t2017-04-25 20:19:45,837 DEBUG - Adding type registration string -> org.hibernate.type.StringType@10a9d961
t2017-04-25 20:19:45,837 DEBUG - Adding type registration java.lang.String -> org.hibernate.type.StringType@10a9d961
t2017-04-25 20:19:45,838 DEBUG - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@60856961
t2017-04-25 20:19:45,840 DEBUG - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3abada5a
t2017-04-25 20:19:45,841 DEBUG - Adding type registration url -> org.hibernate.type.UrlType@3adcc812
t2017-04-25 20:19:45,842 DEBUG - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3adcc812
t2017-04-25 20:19:45,845 DEBUG - Adding type registration date -> org.hibernate.type.DateType@1e461e41
t2017-04-25 20:19:45,846 DEBUG - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1e461e41
t2017-04-25 20:19:45,848 DEBUG - Adding type registration time -> org.hibernate.type.TimeType@38089a5a
t2017-04-25 20:19:45,848 DEBUG - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@38089a5a
t2017-04-25 20:19:45,851 DEBUG - Adding type registration timestamp -> org.hibernate.type.TimestampType@1c33c17b
t2017-04-25 20:19:45,851 DEBUG - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1c33c17b
t2017-04-25 20:19:45,851 DEBUG - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1c33c17b
t2017-04-25 20:19:45,853 DEBUG - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@673be18f
t2017-04-25 20:19:45,855 DEBUG - Adding type registration calendar -> org.hibernate.type.CalendarType@77128536
t2017-04-25 20:19:45,855 DEBUG - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@77128536
t2017-04-25 20:19:45,855 DEBUG - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@77128536
t2017-04-25 20:19:45,856 DEBUG - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@64bce832
t2017-04-25 20:19:45,858 DEBUG - Adding type registration locale -> org.hibernate.type.LocaleType@7ae42ce3
t2017-04-25 20:19:45,858 DEBUG - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@7ae42ce3
t2017-04-25 20:19:45,859 DEBUG - Adding type registration currency -> org.hibernate.type.CurrencyType@602e0143
t2017-04-25 20:19:45,859 DEBUG - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@602e0143
t2017-04-25 20:19:45,860 DEBUG - Adding type registration timezone -> org.hibernate.type.TimeZoneType@34c01041
t2017-04-25 20:19:45,861 DEBUG - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@34c01041
t2017-04-25 20:19:45,862 DEBUG - Adding type registration class -> org.hibernate.type.ClassType@7f0d96f2
t2017-04-25 20:19:45,862 DEBUG - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@7f0d96f2
t2017-04-25 20:19:45,864 DEBUG - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@45312be2
t2017-04-25 20:19:45,864 DEBUG - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@45312be2
t2017-04-25 20:19:45,865 DEBUG - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@7331196b
t2017-04-25 20:19:45,866 DEBUG - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@e70f13a
t2017-04-25 20:19:45,867 DEBUG - Adding type registration binary -> org.hibernate.type.BinaryType@d62fe5b
t2017-04-25 20:19:45,867 DEBUG - Adding type registration byte[] -> org.hibernate.type.BinaryType@d62fe5b
t2017-04-25 20:19:45,867 DEBUG - Adding type registration [B -> org.hibernate.type.BinaryType@d62fe5b
t2017-04-25 20:19:45,869 DEBUG - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@64c63c79
t2017-04-25 20:19:45,869 DEBUG - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@64c63c79
t2017-04-25 20:19:45,869 DEBUG - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@64c63c79
t2017-04-25 20:19:45,870 DEBUG - Adding type registration image -> org.hibernate.type.ImageType@24ba9639
t2017-04-25 20:19:45,872 DEBUG - Adding type registration characters -> org.hibernate.type.CharArrayType@7749bf93
t2017-04-25 20:19:45,872 DEBUG - Adding type registration char[] -> org.hibernate.type.CharArrayType@7749bf93
t2017-04-25 20:19:45,872 DEBUG - Adding type registration [C -> org.hibernate.type.CharArrayType@7749bf93
t2017-04-25 20:19:45,873 DEBUG - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4331d187
t2017-04-25 20:19:45,873 DEBUG - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4331d187
t2017-04-25 20:19:45,874 DEBUG - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4331d187
t2017-04-25 20:19:45,875 DEBUG - Adding type registration text -> org.hibernate.type.TextType@29ca3d04
t2017-04-25 20:19:45,876 DEBUG - Adding type registration ntext -> org.hibernate.type.NTextType@55493582
t2017-04-25 20:19:45,882 DEBUG - Adding type registration blob -> org.hibernate.type.BlobType@29a0cdb
t2017-04-25 20:19:45,882 DEBUG - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@29a0cdb
t2017-04-25 20:19:45,883 DEBUG - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@6eb2384f
t2017-04-25 20:19:45,888 DEBUG - Adding type registration clob -> org.hibernate.type.ClobType@4f9a2c08
t2017-04-25 20:19:45,888 DEBUG - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@4f9a2c08
t2017-04-25 20:19:45,892 DEBUG - Adding type registration nclob -> org.hibernate.type.NClobType@53fd0d10
t2017-04-25 20:19:45,892 DEBUG - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@53fd0d10
t2017-04-25 20:19:45,893 DEBUG - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@24111ef1
t2017-04-25 20:19:45,894 DEBUG - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@5dcb4f5f
t2017-04-25 20:19:45,895 DEBUG - Adding type registration serializable -> org.hibernate.type.SerializableType@47f9738
t2017-04-25 20:19:45,905 DEBUG - Adding type registration object -> org.hibernate.type.ObjectType@6436a7db
t2017-04-25 20:19:45,905 DEBUG - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6436a7db
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@74f5ce22
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@25aca718
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@16fdec90
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@1afdd473
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@40238dd0
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@7776ab
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@79179359
t2017-04-25 20:19:45,906 DEBUG - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@dbd8e44
t2017-04-25 20:19:45,930 INFO  - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
t2017-04-25 20:19:45,938 INFO  - HHH000412: Hibernate Core {4.3.11.Final}
t2017-04-25 20:19:45,941 INFO  - HHH000206: hibernate.properties not found
t2017-04-25 20:19:45,943 INFO  - HHH000021: Bytecode provider name : javassist
t2017-04-25 20:19:45,958 DEBUG - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
t2017-04-25 20:19:45,958 DEBUG - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
t2017-04-25 20:19:45,959 DEBUG - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
t2017-04-25 20:19:45,959 DEBUG - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
t2017-04-25 20:19:45,961 DEBUG - Registering IdentifierGenerator strategy [hilo] -> [org.hibernate.id.TableHiLoGenerator]
t2017-04-25 20:19:45,962 DEBUG - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
t2017-04-25 20:19:45,963 DEBUG - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
t2017-04-25 20:19:45,964 DEBUG - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
t2017-04-25 20:19:45,965 DEBUG - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.SequenceGenerator]
t2017-04-25 20:19:45,966 DEBUG - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
t2017-04-25 20:19:45,966 DEBUG - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
t2017-04-25 20:19:45,967 DEBUG - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
t2017-04-25 20:19:45,968 DEBUG - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
t2017-04-25 20:19:45,969 DEBUG - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
t2017-04-25 20:19:45,970 DEBUG - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
t2017-04-25 20:19:45,978 DEBUG - Resolved classpath location [by/autobazar/entity/] to resources [URL [file:/C:/Users/Andrey/IdeaProjects/AutobazarWebApp/dao/target/classes/by/autobazar/entity/]]
t2017-04-25 20:19:45,978 DEBUG - Looking for matching resources in directory tree [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\entity]
t2017-04-25 20:19:45,978 DEBUG - Searching directory [C:\Users\Andrey\IdeaProjects\AutobazarWebApp\dao\target\classes\by\autobazar\entity] for files matching pattern [C:/Users/Andrey/IdeaProjects/AutobazarWebApp/dao/target/classes/by/autobazar/entity/**/*.class]
