2017-03-29 03:16:06,073 DEBUG - Logging Provider: org.jboss.logging.Log4jLoggerProvider
t2017-03-29 03:16:06,108 DEBUG - Adding type registration boolean -> org.hibernate.type.BooleanType@161cd475
t2017-03-29 03:16:06,109 DEBUG - Adding type registration boolean -> org.hibernate.type.BooleanType@161cd475
t2017-03-29 03:16:06,109 DEBUG - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@161cd475
t2017-03-29 03:16:06,111 DEBUG - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@47089e5f
t2017-03-29 03:16:06,114 DEBUG - Adding type registration true_false -> org.hibernate.type.TrueFalseType@27ddd392
t2017-03-29 03:16:06,115 DEBUG - Adding type registration yes_no -> org.hibernate.type.YesNoType@64b8f8f4
t2017-03-29 03:16:06,122 DEBUG - Adding type registration byte -> org.hibernate.type.ByteType@424c0bc4
t2017-03-29 03:16:06,123 DEBUG - Adding type registration byte -> org.hibernate.type.ByteType@424c0bc4
t2017-03-29 03:16:06,123 DEBUG - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@424c0bc4
t2017-03-29 03:16:06,125 DEBUG - Adding type registration character -> org.hibernate.type.CharacterType@198e2867
t2017-03-29 03:16:06,125 DEBUG - Adding type registration char -> org.hibernate.type.CharacterType@198e2867
t2017-03-29 03:16:06,125 DEBUG - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@198e2867
t2017-03-29 03:16:06,129 DEBUG - Adding type registration short -> org.hibernate.type.ShortType@2eafffde
t2017-03-29 03:16:06,129 DEBUG - Adding type registration short -> org.hibernate.type.ShortType@2eafffde
t2017-03-29 03:16:06,130 DEBUG - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2eafffde
t2017-03-29 03:16:06,132 DEBUG - Adding type registration integer -> org.hibernate.type.IntegerType@6c629d6e
t2017-03-29 03:16:06,132 DEBUG - Adding type registration int -> org.hibernate.type.IntegerType@6c629d6e
t2017-03-29 03:16:06,132 DEBUG - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6c629d6e
t2017-03-29 03:16:06,136 DEBUG - Adding type registration long -> org.hibernate.type.LongType@2280cdac
t2017-03-29 03:16:06,136 DEBUG - Adding type registration long -> org.hibernate.type.LongType@2280cdac
t2017-03-29 03:16:06,136 DEBUG - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2280cdac
t2017-03-29 03:16:06,141 DEBUG - Adding type registration float -> org.hibernate.type.FloatType@490d6c15
t2017-03-29 03:16:06,141 DEBUG - Adding type registration float -> org.hibernate.type.FloatType@490d6c15
t2017-03-29 03:16:06,141 DEBUG - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@490d6c15
t2017-03-29 03:16:06,144 DEBUG - Adding type registration double -> org.hibernate.type.DoubleType@24273305
t2017-03-29 03:16:06,144 DEBUG - Adding type registration double -> org.hibernate.type.DoubleType@24273305
t2017-03-29 03:16:06,144 DEBUG - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@24273305
t2017-03-29 03:16:06,148 DEBUG - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@18ef96
t2017-03-29 03:16:06,149 DEBUG - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@18ef96
t2017-03-29 03:16:06,152 DEBUG - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@12bc6874
t2017-03-29 03:16:06,152 DEBUG - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@12bc6874
t2017-03-29 03:16:06,154 DEBUG - Adding type registration string -> org.hibernate.type.StringType@5d3411d
t2017-03-29 03:16:06,154 DEBUG - Adding type registration java.lang.String -> org.hibernate.type.StringType@5d3411d
